date,category,amount,payment_method,description
2024-11-15,Shopping,49.77,Cash,Doctor choice.
2024-11-15,Food,24.33,Cash,Production song.
2024-11-15,Shopping,153.16,Mobile Payment,Today statement theory.
2024-11-16,Health,74.56,Bank Transfer,Ok offer gas.
2024-11-16,Food,21.39,Bank Transfer,Camera north beautiful.
2024-11-16,Other,8.6,Cash,World few.
2024-11-16,Food,16.85,Card,Play three affect guy trial.
2024-11-16,Health,88.32,Bank Transfer,Wonder body bag.
2024-11-16,Entertainment,50.94,Card,Send toward.
2024-11-17,Shopping,145.47,Cash,Successful including throughout.
2024-11-17,Shopping,77.42,Bank Transfer,On social.
2024-11-18,Shopping,90.91,Bank Transfer,Recent catch specific manager.
2024-11-18,Food,23.52,Bank Transfer,Agree finish street.
2024-11-18,Food,9.69,Bank Transfer,Study wear brother only.
2024-11-18,Health,55.65,Mobile Payment,Baby economic.
2024-11-18,Rent,1081.17,Bank Transfer,Area attorney detail there purpose.
2024-11-18,Utilities,127.41,Bank Transfer,Clear gun policy avoid.
2024-11-18,Entertainment,52.38,Cash,Particular low good.
2024-11-18,Transport,8.85,Mobile Payment,Happen lawyer travel film degree.
2024-11-19,Entertainment,23.17,Mobile Payment,Soon out stop probably various.
2024-11-19,Rent,786.94,Bank Transfer,Cup writer management war boy.
2024-11-19,Rent,500.95,Cash,Color leader.
2024-11-19,Transport,10.61,Cash,Same enter course.
2024-11-19,Other,6.24,Card,Receive line win beyond.
2024-11-19,Entertainment,97.84,Card,Research financial serious top.
2024-11-20,Food,8.35,Mobile Payment,Certainly music remain police.
2024-11-20,Transport,14.85,Cash,Successful without also word.
2024-11-20,Other,78.52,Card,Recently war.
2024-11-20,Shopping,41.08,Mobile Payment,Seem husband suddenly.
2024-11-21,Rent,878.82,Card,Make way sport arrive treat.
2024-11-21,Transport,23.8,Cash,Today range form blood poor.
2024-11-21,Transport,18.91,Cash,Poor through shake.
2024-11-21,Health,85.33,Mobile Payment,Health charge ability admit particular.
2024-11-21,Transport,39.32,Bank Transfer,Than clearly.
2024-11-21,Rent,527.4,Card,Several order between.
2024-11-21,Transport,14.04,Bank Transfer,Woman camera lot spring.
2024-11-21,Shopping,157.08,Mobile Payment,Relationship account education color.
2024-11-21,Entertainment,48.66,Bank Transfer,Guess foot six example business.
2024-11-22,Other,72.02,Card,Arm fear there what person.
2024-11-22,Rent,1030.11,Cash,Dog consumer natural already.
2024-11-22,Shopping,84.71,Cash,Million decision.
2024-11-22,Shopping,193.51,Bank Transfer,Finish air fast.
2024-11-23,Shopping,137.85,Bank Transfer,Possible still add though certain.
2024-11-23,Rent,672.61,Cash,Agreement experience hand door marriage.
2024-11-23,Health,120.09,Mobile Payment,Section yard road.
2024-11-23,Utilities,153.1,Card,Decision open prevent throughout make.
2024-11-23,Food,21.03,Bank Transfer,Air painting fight head.
2024-11-23,Entertainment,61.21,Cash,Operation line better just.
2024-11-23,Utilities,122.53,Bank Transfer,Here hot animal hospital.
2024-11-23,Transport,13.95,Mobile Payment,Young road agree money.
2024-11-24,Other,9.38,Card,Poor six want cause.
2024-11-24,Transport,11.02,Bank Transfer,Ability cultural to because sense.
2024-11-24,Other,95.17,Bank Transfer,Anything nor finally man watch.
2024-11-25,Entertainment,92.28,Cash,Produce activity despite.
2024-11-26,Transport,34.61,Card,War arm another top.
2024-11-26,Utilities,67.61,Mobile Payment,Fire address debate clear authority.
2024-11-26,Other,75.27,Card,Lawyer seem commercial spend.
2024-11-26,Food,20.52,Mobile Payment,Group help with consider.
2024-11-26,Food,8.39,Bank Transfer,Bag issue threat.
2024-11-27,Shopping,120.33,Mobile Payment,Likely answer option officer.
2024-11-27,Other,14.73,Mobile Payment,Threat wide.
2024-11-27,Entertainment,67.33,Card,Use officer.
2024-11-27,Transport,48.98,Mobile Payment,Recognize hear wonder father.
2024-11-27,Entertainment,94.45,Card,Someone thus however source.
2024-11-27,Health,50.52,Bank Transfer,Interest front.
2024-11-27,Shopping,197.66,Mobile Payment,Public deep project easy half.
2024-11-28,Entertainment,79.82,Cash,Plant management four.
2024-11-28,Rent,554.73,Mobile Payment,Population husband star.
2024-11-28,Shopping,170.29,Bank Transfer,Strong foot general phone.
2024-11-28,Utilities,147.09,Mobile Payment,Market environmental million.
2024-11-28,Transport,32.55,Cash,Else decide option team.
2024-11-28,Shopping,110.91,Card,Hospital wrong subject bag member.
2024-11-29,Food,6.7,Bank Transfer,Part control high.
2024-11-29,Entertainment,64.09,Mobile Payment,Consider adult natural.
2024-11-30,Shopping,149.55,Mobile Payment,Teach paper.
2024-11-30,Shopping,195.41,Card,Perform occur.
2024-11-30,Food,11.89,Bank Transfer,Politics coach surface range.
2024-11-30,Rent,1179.72,Bank Transfer,Present training young.
2024-12-01,Health,106.73,Bank Transfer,Rise sister garden already.
2024-12-01,Transport,15.65,Cash,Contain rise positive billion blue.
2024-12-01,Utilities,108.49,Mobile Payment,Receive close seem song back.
2024-12-01,Rent,1005.48,Card,Lose over.
2024-12-01,Rent,823.07,Bank Transfer,Interesting year court.
2024-12-01,Shopping,89.5,Bank Transfer,Themselves idea.
2024-12-01,Health,25.01,Card,Rich summer leave.
2024-12-01,Utilities,197.02,Mobile Payment,Difference Mr effect.
2024-12-02,Utilities,118.97,Cash,Open floor where receive.
2024-12-02,Shopping,53.67,Card,No make individual woman claim.
2024-12-02,Utilities,154.8,Mobile Payment,Particular wrong itself name.
2024-12-03,Shopping,142.66,Mobile Payment,Star over.
2024-12-03,Food,15.36,Cash,Nearly media.
2024-12-03,Transport,38.74,Card,Send property notice.
2024-12-04,Other,85.23,Mobile Payment,Involve offer strong century democratic.
2024-12-04,Health,126.95,Mobile Payment,Carry candidate thought physical.
2024-12-04,Utilities,71.73,Bank Transfer,Worker enjoy sort others.
2024-12-04,Shopping,171.34,Bank Transfer,Start position country.
2024-12-04,Other,56.29,Cash,Sound threat.
2024-12-05,Shopping,155.2,Cash,Just matter result ok.
2024-12-05,Rent,506.55,Cash,Agent seem crime.
2024-12-05,Entertainment,72.14,Mobile Payment,Himself purpose summer.
2024-12-05,Shopping,32.0,Card,Foreign represent.
2024-12-05,Shopping,126.28,Mobile Payment,Check responsibility rock finish.
2024-12-06,Shopping,45.0,Mobile Payment,Indeed strategy Mr animal meet.
2024-12-06,Other,58.28,Cash,Conference purpose charge.
2024-12-06,Transport,9.12,Card,Effect serve force southern.
2024-12-06,Shopping,59.69,Card,Southern seem early different career.
2024-12-06,Utilities,147.63,Mobile Payment,Machine practice.
2024-12-06,Health,36.51,Card,Foreign late recognize agency customer.
2024-12-07,Rent,862.22,Mobile Payment,Population return.
2024-12-07,Food,22.35,Bank Transfer,Affect become open.
2024-12-07,Shopping,196.67,Card,Choice suffer say.
2024-12-07,Food,8.92,Cash,Environment speech record point.
2024-12-07,Shopping,161.65,Card,Nearly green ten.
2024-12-07,Rent,766.68,Bank Transfer,Piece once response with teach.
2024-12-07,Transport,42.66,Cash,Pick bill police behind free.
2024-12-08,Food,19.38,Bank Transfer,Management blood answer evening thought.
2024-12-08,Transport,35.37,Cash,Make debate concern quality ground.
2024-12-08,Utilities,82.3,Bank Transfer,Cost dark once.
2024-12-08,Food,24.06,Card,Company practice get finally life.
2024-12-08,Shopping,14.76,Cash,Start soldier network.
2024-12-08,Transport,13.75,Bank Transfer,Sit some class huge.
2024-12-08,Health,94.02,Cash,Feeling eye baby run.
2024-12-08,Shopping,179.93,Cash,Try whatever challenge example TV.
2024-12-08,Shopping,151.94,Cash,Ok late charge.
2024-12-09,Shopping,12.45,Card,Key cold exist drug between.
2024-12-09,Utilities,84.46,Mobile Payment,Much mother force stuff.
2024-12-09,Entertainment,94.48,Cash,She kitchen down back.
2024-12-09,Health,51.35,Card,Try life stuff.
2024-12-09,Other,48.5,Mobile Payment,Yourself skin out civil support.
2024-12-10,Utilities,198.75,Mobile Payment,Brother help Democrat.
2024-12-10,Food,25.51,Mobile Payment,College risk week bill.
2024-12-10,Health,137.39,Cash,Goal people road turn prevent.
2024-12-10,Shopping,163.84,Cash,Increase decide special else.
2024-12-10,Health,78.45,Mobile Payment,Will forget tend although sing.
2024-12-11,Transport,19.89,Mobile Payment,Meet property if rate.
2024-12-11,Other,68.87,Bank Transfer,Certainly during or.
2024-12-11,Transport,5.71,Cash,Follow detail.
2024-12-11,Rent,1151.99,Card,Behavior two everything eat.
2024-12-11,Shopping,29.63,Bank Transfer,Ever room TV drop whose.
2024-12-11,Rent,1181.34,Mobile Payment,Pay so federal realize politics.
2024-12-12,Rent,694.23,Card,Store bed impact.
2024-12-12,Food,24.75,Bank Transfer,Forget media media herself.
2024-12-12,Entertainment,22.67,Cash,Risk create for.
2024-12-12,Shopping,94.85,Mobile Payment,According away during weight.
2024-12-12,Health,40.86,Card,Nor can their decade.
2024-12-12,Shopping,149.47,Cash,Political speech care.
2024-12-13,Transport,3.06,Cash,Example agreement space.
2024-12-13,Transport,41.85,Card,Region throughout now economic.
2024-12-13,Rent,1040.09,Bank Transfer,Modern quickly not.
2024-12-13,Health,44.65,Card,Either feel character career.
2024-12-13,Utilities,86.77,Mobile Payment,Develop change parent response.
2024-12-13,Health,137.08,Bank Transfer,Month purpose woman fund simply.
2024-12-13,Other,15.31,Bank Transfer,Page guy phone.
2024-12-14,Other,73.62,Card,Son speech ago.
2024-12-14,Rent,996.36,Cash,Difference they information company.
2024-12-14,Food,17.88,Cash,Test second story.
2024-12-14,Other,18.7,Cash,Include get trip happen social.
2024-12-14,Other,91.2,Card,Vote research.
2024-12-14,Other,9.04,Bank Transfer,Social do walk citizen.
2024-12-15,Health,75.44,Bank Transfer,Gun show office short.
2024-12-15,Health,47.46,Cash,Crime campaign edge.
2024-12-15,Other,8.78,Mobile Payment,School speech argue.
2024-12-16,Other,85.12,Bank Transfer,Since main off war.
2024-12-16,Rent,984.96,Mobile Payment,Hour drop book.
2024-12-16,Transport,41.11,Card,Often result.
2024-12-17,Health,67.94,Mobile Payment,Late million nor.
2024-12-17,Rent,1051.48,Card,Peace difficult sort wall movement.
2024-12-17,Shopping,146.07,Mobile Payment,Technology last where.
2024-12-17,Other,73.4,Card,Seem option report rich before.
2024-12-17,Transport,4.22,Mobile Payment,Bit view able rich section.
2024-12-17,Other,73.61,Cash,As every method door whether.
2024-12-17,Food,15.09,Mobile Payment,Quite news wind play address.
2024-12-17,Utilities,145.38,Card,Crime scene dream surface.
2024-12-18,Shopping,97.4,Card,Business prove right.
2024-12-18,Other,38.58,Bank Transfer,Evidence defense side success.
2024-12-18,Food,10.99,Mobile Payment,See by center study.
2024-12-18,Entertainment,97.15,Bank Transfer,Soon quickly wonder education benefit.
2024-12-18,Rent,957.16,Cash,Nor child benefit.
2024-12-19,Food,7.43,Mobile Payment,He want name visit.
2024-12-19,Transport,16.52,Mobile Payment,Sport soon before which high.
2024-12-19,Entertainment,74.59,Cash,Wonder defense truth world near.
2024-12-19,Entertainment,39.02,Mobile Payment,Girl happen site behavior.
2024-12-19,Food,13.52,Mobile Payment,Better hold here perhaps where.
2024-12-19,Transport,27.78,Mobile Payment,Church push view citizen news.
2024-12-19,Entertainment,75.78,Bank Transfer,State agree officer suddenly.
2024-12-19,Utilities,76.63,Cash,Customer responsibility could.
2024-12-19,Transport,41.07,Cash,Send enough quite.
2024-12-19,Other,49.16,Cash,Resource tonight cup.
2024-12-19,Utilities,174.04,Bank Transfer,School laugh.
2024-12-20,Transport,49.24,Mobile Payment,There art.
2024-12-20,Health,101.37,Card,Main reach.
2024-12-20,Food,9.03,Bank Transfer,Political meet.
2024-12-20,Transport,25.85,Bank Transfer,Give science.
2024-12-20,Other,99.55,Card,Series hair guy throughout.
2024-12-20,Food,10.23,Mobile Payment,Sister might network leave discuss.
2024-12-21,Food,9.61,Cash,Attack defense opportunity arm force.
2024-12-21,Other,64.18,Mobile Payment,Through ability finally in bad.
2024-12-21,Other,17.15,Card,Special serve PM eight surface.
2024-12-21,Shopping,92.05,Mobile Payment,Behavior community hit bank.
2024-12-21,Transport,6.59,Mobile Payment,Will degree base.
2024-12-21,Utilities,112.91,Bank Transfer,At lawyer who man sometimes.
2024-12-22,Food,27.63,Mobile Payment,Particular soldier pass heart report.
2024-12-22,Health,103.27,Cash,Simply ball.
2024-12-22,Entertainment,41.93,Cash,Apply reveal.
2024-12-22,Shopping,168.57,Cash,Pretty fish.
2024-12-22,Health,104.59,Card,Claim throughout dark.
2024-12-22,Rent,551.44,Card,Per be.
2024-12-22,Health,44.86,Bank Transfer,Window image tax.
2024-12-23,Health,74.64,Card,International reveal third talk.
2024-12-23,Shopping,100.58,Cash,Around run.
2024-12-23,Other,63.9,Mobile Payment,Feel radio old.
2024-12-23,Rent,810.99,Mobile Payment,All feel.
2024-12-24,Rent,1048.84,Cash,Born its time sport.
2024-12-24,Rent,1026.54,Card,Four marriage.
2024-12-24,Other,96.18,Mobile Payment,Lot contain.
2024-12-24,Transport,16.13,Mobile Payment,Democrat between word something result.
2024-12-25,Entertainment,61.1,Mobile Payment,Mind I.
2024-12-25,Health,131.41,Bank Transfer,Agree speak change certainly north.
2024-12-25,Other,81.21,Mobile Payment,Second bring could provide during.
2024-12-25,Entertainment,25.33,Bank Transfer,Mind it sport most foreign.
2024-12-25,Shopping,182.92,Cash,Your cell.
2024-12-25,Shopping,67.46,Mobile Payment,Water those onto official base.
2024-12-26,Health,138.24,Card,Since why question support.
2024-12-26,Shopping,123.05,Bank Transfer,Use call almost.
2024-12-26,Rent,793.73,Bank Transfer,Ago book daughter.
2024-12-26,Other,76.98,Bank Transfer,Shoulder manage some network.
2024-12-26,Health,71.66,Bank Transfer,Itself against issue company.
2024-12-26,Shopping,171.13,Cash,Agree bag minute.
2024-12-26,Food,28.98,Mobile Payment,Indicate set.
2024-12-27,Other,96.31,Mobile Payment,Apply perform.
2024-12-27,Food,28.51,Mobile Payment,Human speak leader.
2024-12-27,Rent,448.81,Bank Transfer,Since option.
2024-12-27,Other,27.98,Cash,Little history first.
2024-12-27,Other,76.36,Card,Force age happy.
2024-12-27,Health,89.81,Bank Transfer,Play year keep subject.
2024-12-27,Transport,20.95,Cash,Ground news level.
2024-12-27,Utilities,158.46,Bank Transfer,So according goal PM heart.
2024-12-27,Other,61.34,Cash,Wall manager less around.
2024-12-27,Food,9.1,Cash,For TV product girl tax.
2024-12-27,Food,20.3,Cash,Responsibility his major this western.
2024-12-27,Entertainment,82.45,Cash,Local form smile open.
2024-12-27,Entertainment,82.29,Cash,Notice lose fall shake amount.
2024-12-28,Transport,39.35,Cash,Serve product everyone maybe our.
2024-12-28,Utilities,63.39,Bank Transfer,Because drive community behind occur.
2024-12-28,Other,25.51,Cash,Prove white case music just.
2024-12-28,Rent,668.99,Card,Fish trade form.
2024-12-28,Food,5.99,Bank Transfer,Fund table it record.
2024-12-28,Entertainment,98.57,Mobile Payment,Message American have identify.
2024-12-29,Utilities,181.08,Bank Transfer,Wear experience nice.
2024-12-29,Shopping,165.17,Mobile Payment,Among decision character cost.
2024-12-29,Rent,895.86,Card,Capital science cold human peace.
2024-12-29,Entertainment,46.59,Cash,Body expert current.
2024-12-29,Rent,1040.15,Card,Land around common.
2024-12-29,Food,12.12,Bank Transfer,Certainly middle fall.
2024-12-29,Food,20.1,Bank Transfer,Product see view.
2024-12-29,Entertainment,99.19,Cash,Least theory even teach his.
2024-12-29,Health,73.64,Card,Medical lay skill summer.
2024-12-29,Health,36.47,Card,Pay across contain.
2024-12-29,Other,93.72,Card,Manage sister unit somebody tell.
2024-12-30,Shopping,132.55,Mobile Payment,Person party.
2024-12-30,Entertainment,49.35,Bank Transfer,Simply military forget school.
2024-12-30,Entertainment,41.79,Mobile Payment,Program condition consumer late board.
2024-12-31,Rent,943.69,Bank Transfer,Finally describe account pass.
2024-12-31,Utilities,53.09,Mobile Payment,Yet skin power boy style.
2024-12-31,Rent,897.78,Mobile Payment,Today summer community.
2024-12-31,Food,12.18,Bank Transfer,About usually he crime.
2025-01-01,Health,146.37,Mobile Payment,Along everybody space.
2025-01-01,Other,99.56,Bank Transfer,Section budget attention.
2025-01-01,Other,21.38,Cash,Writer list.
2025-01-01,Shopping,77.34,Bank Transfer,Wrong computer popular.
2025-01-01,Entertainment,55.02,Card,How method able.
2025-01-02,Other,18.33,Bank Transfer,Couple message open though lawyer.
2025-01-02,Health,82.03,Cash,Structure investment.
2025-01-02,Other,75.33,Mobile Payment,Politics treatment top skill work.
2025-01-02,Rent,1182.62,Cash,Property plant among central.
2025-01-02,Utilities,199.89,Card,Condition for candidate bring.
2025-01-02,Shopping,155.19,Cash,Blood TV.
2025-01-02,Rent,694.86,Mobile Payment,Nor listen.
2025-01-02,Entertainment,54.9,Mobile Payment,Report determine end same.
2025-01-02,Rent,775.7,Card,Visit form government choose.
2025-01-02,Shopping,120.87,Bank Transfer,Notice news try around that.
2025-01-02,Other,92.66,Bank Transfer,Reduce authority water drug kitchen.
2025-01-02,Rent,559.35,Bank Transfer,Especially should then.
2025-01-02,Other,34.55,Card,All cup like.
2025-01-03,Other,48.96,Cash,Same inside bar say.
2025-01-03,Shopping,42.2,Card,Interest discussion drug.
2025-01-03,Rent,868.59,Bank Transfer,See one lot sound soldier.
2025-01-03,Health,77.71,Card,Security point hard forward.
2025-01-03,Rent,751.75,Card,Citizen hot likely.
2025-01-03,Health,34.62,Cash,Surface student even.
2025-01-03,Rent,841.49,Cash,Always certain today.
2025-01-03,Other,52.34,Card,Interview side do food decision.
2025-01-04,Food,19.55,Cash,Ready save.
2025-01-04,Transport,37.0,Card,Despite former let ever.
2025-01-04,Rent,450.09,Bank Transfer,Skill firm need news.
2025-01-04,Shopping,97.72,Card,Agreement federal plant car director.
2025-01-04,Rent,950.6,Mobile Payment,Serve security any.
2025-01-04,Transport,5.09,Bank Transfer,Task per note.
2025-01-04,Food,16.09,Bank Transfer,Travel change set sound however.
2025-01-04,Transport,40.51,Mobile Payment,Method health difficult laugh fund.
2025-01-04,Food,6.98,Mobile Payment,They couple focus peace.
2025-01-04,Food,22.75,Cash,Choose produce manage in today.
2025-01-04,Utilities,58.16,Mobile Payment,Campaign laugh spring election.
2025-01-04,Other,47.0,Bank Transfer,Live view nice market.
2025-01-05,Entertainment,67.72,Bank Transfer,Four hard soldier keep.
2025-01-05,Shopping,167.17,Cash,Technology current stuff bad.
2025-01-05,Shopping,75.38,Mobile Payment,Billion car and.
2025-01-05,Other,55.4,Card,Painting cultural allow.
2025-01-06,Transport,29.23,Mobile Payment,Popular night defense kind respond.
2025-01-06,Utilities,96.51,Bank Transfer,Here you true enjoy building.
2025-01-07,Food,20.41,Bank Transfer,Staff here leave husband.
2025-01-07,Food,11.2,Mobile Payment,Could plant talk.
2025-01-07,Other,77.29,Bank Transfer,Physical along edge yard deep.
2025-01-07,Entertainment,97.69,Card,Treat right clearly picture.
2025-01-07,Food,11.49,Mobile Payment,Cut weight time.
2025-01-07,Shopping,150.03,Card,Stay financial hold.
2025-01-07,Transport,9.72,Mobile Payment,Reach five send language might.
2025-01-08,Entertainment,21.0,Mobile Payment,Play source.
2025-01-08,Transport,19.24,Mobile Payment,Your treatment operation.
2025-01-08,Food,28.72,Cash,Positive of may.
2025-01-09,Transport,44.37,Cash,Car set opportunity system according.
2025-01-09,Health,104.91,Cash,Course increase work election cost.
2025-01-09,Food,6.67,Mobile Payment,Black effect away population.
2025-01-09,Rent,939.07,Cash,Place hard yourself.
2025-01-09,Entertainment,31.77,Cash,Prevent area thought.
2025-01-09,Health,57.85,Bank Transfer,Development physical week nature.
2025-01-09,Entertainment,58.89,Bank Transfer,Trial effort professor charge.
2025-01-10,Other,15.85,Card,Mr sell instead.
2025-01-10,Entertainment,88.77,Cash,Buy property.
2025-01-10,Entertainment,35.03,Card,Push social until.
2025-01-10,Shopping,199.29,Cash,Recognize lawyer perform.
2025-01-10,Shopping,138.93,Bank Transfer,Our against yourself must.
2025-01-11,Rent,773.7,Cash,Fight middle design it himself.
2025-01-11,Food,25.32,Card,Up keep particular practice protect.
2025-01-11,Other,68.25,Mobile Payment,Step ability.
2025-01-11,Other,34.56,Bank Transfer,Star another hope.
2025-01-11,Rent,976.9,Bank Transfer,North hair your.
2025-01-12,Utilities,145.12,Mobile Payment,Nothing role company suffer reality.
2025-01-12,Utilities,100.75,Card,Role health art.
2025-01-12,Rent,511.91,Cash,Subject wrong model.
2025-01-12,Shopping,80.15,Cash,In without religious become.
2025-01-12,Other,71.48,Bank Transfer,Their whose.
2025-01-13,Health,36.37,Mobile Payment,Two throw job either.
2025-01-13,Transport,42.16,Mobile Payment,Moment performance pattern town.
2025-01-14,Shopping,110.72,Bank Transfer,South free space responsibility can.
2025-01-14,Rent,672.73,Mobile Payment,Part concern simply wait.
2025-01-14,Health,119.33,Mobile Payment,Pattern white news property benefit.
2025-01-14,Health,52.91,Bank Transfer,Shoulder feel pressure east style.
2025-01-14,Other,62.97,Mobile Payment,Help resource foreign rich.
2025-01-14,Entertainment,85.66,Card,Old them various ago which.
2025-01-14,Transport,19.82,Card,Southern try similar hope.
2025-01-15,Other,62.03,Mobile Payment,Mouth establish again.
2025-01-15,Utilities,134.83,Card,Key product color.
2025-01-15,Other,57.84,Cash,Edge ready throughout minute character.
2025-01-15,Transport,13.42,Cash,Live relationship economic this.
2025-01-15,Utilities,177.1,Card,Past crime when.
2025-01-16,Food,12.05,Cash,Instead watch subject drop.
2025-01-16,Other,34.63,Mobile Payment,Bill win.
2025-01-16,Food,19.31,Bank Transfer,Size pattern then.
2025-01-16,Shopping,131.91,Card,Here left attack determine.
2025-01-17,Utilities,117.24,Bank Transfer,Wish decision should.
2025-01-17,Rent,891.07,Bank Transfer,Themselves year car as.
2025-01-17,Transport,22.74,Card,Design realize yourself list campaign.
2025-01-17,Rent,993.51,Bank Transfer,Take behind seek none.
2025-01-17,Utilities,90.87,Card,Cell wife each.
2025-01-17,Transport,36.06,Card,Woman most.
2025-01-18,Utilities,140.6,Card,Movement offer.
2025-01-18,Other,41.19,Bank Transfer,Color man his professor.
2025-01-18,Food,5.44,Mobile Payment,Run moment want.
2025-01-18,Rent,597.89,Mobile Payment,Draw former with.
2025-01-18,Other,75.4,Card,School upon center.
2025-01-19,Other,38.5,Card,Goal late near.
2025-01-19,Other,66.29,Mobile Payment,Local unit total.
2025-01-19,Entertainment,61.77,Cash,Along board represent commercial firm.
2025-01-20,Shopping,91.47,Bank Transfer,Issue minute sometimes.
2025-01-20,Shopping,196.46,Card,Effort maybe ready issue pressure.
2025-01-20,Transport,22.31,Mobile Payment,Much someone.
2025-01-20,Other,53.91,Mobile Payment,Part attack probably all shoulder.
2025-01-21,Other,22.24,Mobile Payment,Pressure this firm.
2025-01-21,Health,123.15,Cash,Including bar.
2025-01-21,Food,13.48,Cash,Its role all common.
2025-01-21,Transport,15.81,Mobile Payment,Author report write war.
2025-01-21,Utilities,109.15,Cash,Allow arm.
2025-01-21,Entertainment,75.79,Card,Democratic least personal whose.
2025-01-22,Transport,26.34,Mobile Payment,Produce financial surface.
2025-01-22,Health,61.87,Mobile Payment,Purpose one wall none series.
2025-01-22,Food,9.47,Card,Individual first mouth.
2025-01-22,Entertainment,70.68,Mobile Payment,Rule once cover.
2025-01-23,Rent,946.88,Mobile Payment,Often poor piece affect.
2025-01-23,Rent,798.82,Card,Leader push although table.
2025-01-23,Transport,24.23,Card,War history job eye.
2025-01-23,Food,9.15,Card,Interest help yourself three bed.
2025-01-23,Other,52.13,Cash,Its tend art.
2025-01-23,Food,14.05,Cash,Care sea green effect.
2025-01-23,Shopping,24.03,Cash,Movie form.
2025-01-23,Food,17.02,Mobile Payment,Produce candidate.
2025-01-23,Other,20.47,Card,Style top require author.
2025-01-24,Transport,16.87,Card,Society tonight party nation.
2025-01-24,Entertainment,33.06,Cash,Open organization east can.
2025-01-24,Food,16.84,Bank Transfer,Strong activity media.
2025-01-24,Entertainment,66.16,Bank Transfer,Thus sometimes spring responsibility.
2025-01-24,Other,15.56,Mobile Payment,Power above skin air.
2025-01-24,Other,25.65,Mobile Payment,Woman because know.
2025-01-24,Other,97.35,Cash,Happy anyone people discuss.
2025-01-24,Shopping,60.25,Mobile Payment,Throughout none which business key.
2025-01-24,Rent,624.69,Card,Successful call religious.
2025-01-24,Shopping,122.96,Cash,Role ask who onto.
